node,date,ratings_that_day
3129,2013-08-23,144
2691,2012-10-16,38
3129,2013-04-09,35
1052,2015-05-05,35
3795,2013-08-15,28
3793,2013-08-15,27
3790,2013-08-15,27
3791,2013-08-15,27
3789,2013-08-15,27
1815,2013-08-14,27
3792,2013-08-15,27
3794,2013-08-15,27
5506,2014-04-11,25
3786,2013-08-15,24
3788,2013-08-15,24
3787,2013-08-15,23
1383,2012-05-24,22
832,2011-06-09,21
1953,2012-11-07,21
2934,2014-12-29,20
1656,2013-10-01,20
3935,2013-06-26,20
3129,2013-04-15,20
4458,2013-08-06,19
3330,2013-08-06,18
2125,2013-12-12,18
3735,2013-04-14,17
3744,2013-03-26,17
2125,2013-08-19,16
2524,2014-08-07,16
3760,2013-07-19,16
3756,2013-07-19,16
2125,2014-01-27,15
3759,2013-07-19,15
