node,num_ratings_received,num_distinct_raters,num_negative,avg_rating,neg_fraction
7597,9,9,9,-10.0,1.0
7593,7,7,7,-8.571428571428571,1.0
7592,6,6,6,-10.0,1.0
7587,5,5,5,-10.0,1.0
7604,73,73,69,-8.602739726027398,0.9452054794520548
7602,17,17,16,-8.823529411764707,0.9411764705882353
7596,9,9,8,-7.666666666666667,0.8888888888888888
7601,16,16,14,-7.5,0.875
7583,8,8,7,-5.25,0.875
7594,8,8,7,-7.625,0.875
7558,6,6,5,-4.333333333333333,0.8333333333333334
7568,6,6,5,-4.833333333333333,0.8333333333333334
7571,6,6,5,-5.0,0.8333333333333334
7576,6,6,5,-5.166666666666667,0.8333333333333334
7578,6,6,5,-5.5,0.8333333333333334
7581,6,6,5,-5.833333333333333,0.8333333333333334
7586,6,6,5,-8.166666666666666,0.8333333333333334
7560,10,10,8,-2.6,0.8
7579,10,10,8,-3.4,0.8
7569,5,5,4,-6.0,0.8
7598,19,19,15,-5.7894736842105265,0.7894736842105263
7599,19,19,15,-5.7894736842105265,0.7894736842105263
7590,8,8,6,-7.125,0.75
7582,7,7,5,-5.142857142857143,0.7142857142857143
7584,7,7,5,-6.0,0.7142857142857143
7585,7,7,5,-6.714285714285714,0.7142857142857143
7580,15,15,10,-2.3333333333333335,0.6666666666666666
7589,15,15,10,-3.7333333333333334,0.6666666666666666
7520,6,6,4,-2.8333333333333335,0.6666666666666666
7536,6,6,4,-3.3333333333333335,0.6666666666666666
7556,6,6,4,-4.166666666666667,0.6666666666666666
7575,6,6,4,-5.0,0.6666666666666666
7600,34,34,22,-3.5,0.6470588235294118
3369,5,5,3,0.2,0.6
7483,5,5,3,-2.2,0.6
7506,5,5,3,-2.6,0.6
7551,5,5,3,-4.4,0.6
7563,5,5,3,-5.6,0.6
1292,7,7,4,0.7142857142857143,0.5714285714285714
7513,7,7,4,-2.142857142857143,0.5714285714285714
7517,7,7,4,-2.2857142857142856,0.5714285714285714
7577,13,13,7,-2.5384615384615383,0.5384615384615384
7591,17,17,9,-3.4705882352941178,0.5294117647058824
7588,19,19,10,-2.8421052631578947,0.5263157894736842
7562,10,10,5,-2.8,0.5
5533,8,8,4,0.0,0.5
7509,8,8,4,-1.75,0.5
7570,8,8,4,-3.75,0.5
7388,6,6,3,-0.5,0.5
7518,6,6,3,-2.8333333333333335,0.5
7521,6,6,3,-2.8333333333333335,0.5
