node,num_ratings_received,num_distinct_raters,num_negative,avg_rating,neg_fraction
4747,14,14,14,-10.0,1.0
5217,8,8,8,-5.75,1.0
1956,7,7,7,-8.571428571428571,1.0
4729,7,7,7,-10.0,1.0
4870,7,7,7,-8.714285714285714,1.0
1756,6,6,6,-10.0,1.0
3786,6,6,6,-10.0,1.0
3787,6,6,6,-10.0,1.0
3788,6,6,6,-10.0,1.0
3789,6,6,6,-10.0,1.0
3790,6,6,6,-10.0,1.0
3791,6,6,6,-10.0,1.0
3792,6,6,6,-10.0,1.0
4739,6,6,6,-10.0,1.0
5576,6,6,6,-10.0,1.0
984,5,5,5,-10.0,1.0
2261,5,5,5,-1.6,1.0
3793,5,5,5,-10.0,1.0
3794,5,5,5,-10.0,1.0
3795,5,5,5,-10.0,1.0
4531,25,25,24,-9.2,0.96
4744,19,19,18,-9.421052631578947,0.9473684210526315
4672,18,18,17,-9.38888888888889,0.9444444444444444
3760,17,17,16,-8.823529411764707,0.9411764705882353
4668,16,16,15,-8.75,0.9375
4669,16,16,15,-8.75,0.9375
4350,14,14,13,-6.928571428571429,0.9285714285714286
3744,81,81,75,-8.333333333333334,0.9259259259259259
906,9,9,8,-7.666666666666667,0.8888888888888888
5654,9,9,8,-3.888888888888889,0.8888888888888888
4677,17,17,15,-8.705882352941176,0.8823529411764706
4701,17,17,15,-8.705882352941176,0.8823529411764706
3759,16,16,14,-7.5,0.875
4743,16,16,14,-8.625,0.875
2096,8,8,7,-5.25,0.875
3314,8,8,7,-7.625,0.875
4661,21,21,18,-7.571428571428571,0.8571428571428571
4666,21,21,18,-7.714285714285714,0.8571428571428571
3333,7,7,6,-6.428571428571429,0.8571428571428571
4676,19,19,16,-8.263157894736842,0.8421052631578947
1143,6,6,5,-5.0,0.8333333333333334
1145,6,6,5,-5.166666666666667,0.8333333333333334
2561,6,6,5,-4.5,0.8333333333333334
2881,6,6,5,-8.166666666666666,0.8333333333333334
3436,6,6,5,-6.5,0.8333333333333334
5200,6,6,5,-6.666666666666667,0.8333333333333334
5471,6,6,5,-6.833333333333333,0.8333333333333334
4681,22,22,18,-8.0,0.8181818181818182
1792,11,11,9,-3.1818181818181817,0.8181818181818182
3756,21,21,17,-6.190476190476191,0.8095238095238095
3757,21,21,17,-6.190476190476191,0.8095238095238095
4679,21,21,17,-7.904761904761905,0.8095238095238095
4680,21,21,17,-7.904761904761905,0.8095238095238095
2498,45,45,36,-5.688888888888889,0.8
4654,25,25,20,-7.44,0.8
4678,20,20,16,-7.8,0.8
4682,20,20,16,-7.8,0.8
410,5,5,4,-6.0,0.8
2514,5,5,4,-4.6,0.8
2516,5,5,4,-5.8,0.8
2581,5,5,4,-7.8,0.8
2639,5,5,4,-3.2,0.8
2879,5,5,4,-7.8,0.8
3182,5,5,4,-1.2,0.8
5201,5,5,4,-6.0,0.8
5202,5,5,4,-6.0,0.8
5203,5,5,4,-6.0,0.8
5193,9,9,7,-7.555555555555555,0.7777777777777778
4645,13,13,10,-7.461538461538462,0.7692307692307693
4251,12,12,9,-1.8333333333333333,0.75
5027,8,8,6,-4.375,0.75
5197,8,8,6,-7.25,0.75
