node,community
7188,0
1,0
430,1
3134,1
3026,0
3010,0
804,2
160,0
95,1
377,0
888,0
89,4
1901,0
161,2
256,2
351,1
3329,0
3341,0
649,1
1583,0
87,5
37,6
309,1
821,0
1496,0
637,1
964,2
594,0
2249,0
554,7
20,2
2227,0
1315,0
519,2
1316,0
2149,0
1724,0
18,0
57,0
118,1
3254,1
1177,0
112,1
11,2
586,2
35,5
15,5
1445,0
152,6
2,6
113,6
44,6
2401,0
10,2
2378,0
126,5
3245,0
783,4
493,1
1358,4
1180,1
529,4
333,1
1538,1
2282,0
1519,1
2966,0
474,4
330,1
958,5
17,2
1295,2
38,2
1952,0
223,6
625,6
1392,0
3355,0
1881,0
58,1
96,5
1580,1
196,5
146,2
416,1
1198,1
3319,0
1867,0
896,0
617,4
3300,0
1877,0
462,8
3279,0
454,1
1860,1
121,6
151,0
1570,5
1573,1
1063,1
1353,1
459,0
2334,1
1267,4
1060,1
1061,1
7431,1
1355,0
71,0
3070,0
2113,0
3001,2
396,1
2260,0
142,2
2238,0
123,1
2942,0
1509,4
7410,1
1760,2
2876,0
259,1
1493,2
2845,0
370,2
2844,4
2167,0
156,2
2808,0
255,2
736,0
7603,2
346,2
9,2
75,2
175,4
2754,0
22,2
155,4
1261,0
2552,0
2586,0
710,6
578,6
472,6
2472,6
1606,6
4,6
563,6
744,6
3422,0
250,6
249,1
2427,0
3414,0
1590,5
2305,0
1900,1
3392,1
1065,1
1147,5
1072,0
3375,0
1024,1
709,0
1382,0
3332,0
1885,1
3330,0
1197,1
3316,0
1886,0
154,1
1522,0
2391,0
3298,0
432,0
3292,0
3290,0
7597,1
3274,0
1875,1
291,1
158,1
1579,1
1846,1
1066,0
290,1
3233,0
891,1
247,1
1856,0
3211,0
115,1
1365,0
483,1
3210,0
3189,0
3193,0
2352,0
1847,1
3173,0
1051,1
1843,1
2342,0
7341,1
3139,0
1186,1
3167,0
3149,0
1842,0
3156,1
3141,0
817,0
1840,1
1839,1
2324,0
3143,0
3142,0
174,1
2315,1
1356,1
1835,1
296,1
3118,0
1542,0
3111,0
753,1
3088,0
395,1
3068,0
3042,0
1442,0
1339,0
596,1
2281,1
222,1
194,0
3064,0
1812,7
1796,2
701,1
124,1
3057,0
7427,0
2276,0
2271,0
1525,1
2235,7
3027,0
2090,9
1342,1
331,1
3023,0
2261,7
68,1
116,1
1043,1
3020,0
491,5
179,1
2252,2
214,1
439,6
2147,0
1167,0
697,2
67,2
1793,0
258,2
1340,1
2996,0
1520,0
1336,1
30,1
178,7
747,0
2962,0
2952,0
455,2
260,2
623,2
29,1
1510,2
2927,0
301,0
2907,0
2909,0
1148,2
955,2
1502,2
2853,0
1500,2
2178,2
1320,2
874,2
2177,0
2892,0
636,2
1034,2
1494,2
276,10
1318,0
117,2
1492,0
1302,0
1313,0
1491,0
2870,0
2181,0
1309,1
1750,0
2848,0
1458,2
951,2
1029,1
2176,11
2846,0
347,2
2173,0
2826,0
1742,2
2166,0
2823,0
2820,0
2814,0
1736,2
1025,6
1482,2
1483,2
2152,7
2806,0
1128,2
2801,0
2795,0
1290,2
1288,2
1436,0
2498,0
2784,0
587,0
2780,0
2779,0
305,2
944,2
2129,2
683,2
42,2
1136,4
1283,2
2127,0
2093,0
1284,2
72,6
264,2
2756,0
1285,2
613,2
304,2
1282,2
4721,1
1475,6
2746,0
1715,6
734,2
2108,4
1923,0
1465,4
2742,0
