community,size,internal_edges,internal_density,avg_pagerank,avg_rating_of_members
1,922,3307,0.007788855365642834,0.00029360213693258036,1.1275824104656433
2,672,1878,0.008329784969129232,0.00030678185598415167,1.488678203240059
6,614,1513,0.008039704342928194,0.0002914613404737015,1.8346377177480435
4,530,958,0.0068338267289652956,0.00026159766664899374,1.5514433752775723
0,415,491,0.00571561608753856,0.00018836177065753468,1.8480577518047439
5,286,838,0.020561894246104773,0.00018842990087279143,1.3844580777096114
7,195,320,0.0169177901136664,0.00020623965361361296,1.5631868131868132
9,51,63,0.04941176470588235,0.000262415913953764,1.603896103896104
8,20,24,0.12631578947368421,0.00020839946580658185,2.2688172043010755
11,17,17,0.125,0.00021238000506911705,2.4
14,13,14,0.1794871794871795,0.00016641521303359863,3.235955056179775
16,11,10,0.18181818181818182,0.00029222039935724757,1.9761904761904763
10,11,12,0.21818181818181817,0.00020640617743833712,3.1733333333333333
15,6,6,0.4,0.0001711291248760675,1.0
13,6,5,0.3333333333333333,0.00021355595855280447,1.0
17,3,2,0.6666666666666666,0.0001073521422541894,1.0
12,3,2,0.6666666666666666,8.068781022348461e-05,-3.75
3,2,1,1.0,7.088646856277827e-05,-10.0
18,2,1,1.0,0.00032346246611186173,3.0
19,2,1,1.0,0.00032346246611186173,2.0
20,2,1,1.0,7.088646856277827e-05,1.0
