community,size,internal_edges,internal_density,avg_pagerank,avg_rating_of_members
14,1256,3448,0.004374857258862639,0.00019898445013545574,1.6512597082780829
7,1059,4331,0.007731015635180316,0.00021470524932520332,0.2148204350025291
9,868,2001,0.005317876676287213,0.0001836755700357177,0.9369506423258959
6,832,1433,0.004145260575765991,0.00015349494712750731,1.2706478873239437
5,535,972,0.006804578389163079,0.00011754525595052412,1.420270628814009
15,511,562,0.004312958059936303,0.00010788713227210145,1.522837706511176
1,467,1145,0.010522833169440589,0.00015827144195585858,1.5554021401449776
2,202,242,0.011920595044579084,9.92643305672122e-05,-1.418975650713686
16,71,97,0.03903420523138833,0.00013591543853424653,2.0232919254658386
12,44,55,0.05813953488372093,0.00018302118738930875,1.8634538152610443
17,11,10,0.18181818181818182,0.00020467719583949808,1.9761904761904763
11,6,5,0.3333333333333333,0.00014583183450243958,0.8695652173913043
3,5,5,0.5,0.00012386636177629667,1.5
0,4,4,0.6666666666666666,9.642087606293718e-05,-1.7058823529411764
10,4,5,0.8333333333333334,0.00018800077893048296,0.5
4,2,1,1.0,0.00022426427350276314,1.0
8,2,1,1.0,0.00022426427350276314,3.0
13,2,1,1.0,4.992101783769137e-05,1.0
