dataset,rank,in_degree_node,in_degree_value,out_degree_node,out_degree_value,pagerank_node,pagerank_value,betweenness_node,betweenness_value,hub_node,hub_value,authority_node,authority_value
bitcoin_alpha,1,1,398,1,490,1,0.01699309922840529,1,0.15961798972833974,177,0.01695276100565133,2,0.039512871435854253
bitcoin_alpha,2,3,251,8,259,3,0.008960320960927018,2,0.06894675191580689,43,0.013513966090715689,7,0.02308390631512969
bitcoin_alpha,3,2,205,3,243,4,0.008023439583332511,4,0.06338047293476953,11,0.013376999520654654,4,0.01999505575830727
bitcoin_alpha,4,11,203,4,215,2,0.006623183283223336,11,0.047898089402965985,7,0.013369332824903307,5,0.019013686752586544
bitcoin_alpha,5,4,201,7,212,177,0.006607811108334513,3,0.04465797456371752,95,0.012366553010224953,9,0.017651523441971087
bitcoin_alpha,6,177,198,11,203,7,0.006543114032848891,15,0.04138765562395051,85,0.011386346803096194,3,0.01757233095545605
bitcoin_alpha,7,7,195,177,202,11,0.006192044052141411,8,0.039905664078520565,30,0.011264598501867985,6,0.017322720746855938
bitcoin_alpha,8,10,164,15,197,10,0.005598872299087017,10,0.037497582734532416,179,0.011178827643690527,188,0.01666956859607144
bitcoin_alpha,9,5,146,2,195,13,0.005287958636203424,13,0.03584305647056495,47,0.010872157474083101,26,0.016634943827069853
bitcoin_alpha,10,6,139,10,177,6,0.004780121390485107,5,0.03462574415121951,188,0.010251521261991086,8,0.014462139223433607
bitcoin_alpha,11,26,138,5,174,16,0.004707642392717352,7,0.033584227074782064,9,0.01019700773245648,31,0.014310442319726105
bitcoin_alpha,12,8,134,22,148,5,0.004622857702795663,177,0.0304666009923379,2,0.010107923786073966,20,0.014110319408357793
bitcoin_alpha,13,9,133,6,148,7564,0.004203501017394428,6,0.02571902622834754,68,0.010080199494911912,24,0.013903291940388357
bitcoin_alpha,14,12,128,9,143,9,0.004200846400007224,40,0.02494368989049725,1691,0.009191076578428551,10,0.013564052346856632
bitcoin_alpha,15,15,123,33,136,8,0.0041070538170326085,22,0.024327834827150466,26,0.009072762041046496,14,0.013399531015942297
