dataset,rank,in_degree_node,in_degree_value,out_degree_node,out_degree_value,pagerank_node,pagerank_value,betweenness_node,betweenness_value,hub_node,hub_value,authority_node,authority_value
bitcoin_otc,1,35,535,35,763,35,0.015107372805455366,35,0.13434374475443345,1810,0.06046462573047771,4531,0.028866685119832758
bitcoin_otc,2,2642,412,2642,406,2642,0.010816035128244547,2642,0.05357987205535247,2125,0.04947114430868746,4661,0.028324561460176513
bitcoin_otc,3,1810,311,1810,404,1810,0.0069758388155288205,905,0.050357456077651165,3789,0.041604235215012025,4666,0.028237103281182323
bitcoin_otc,4,2028,279,2125,397,2028,0.006775820078635073,1,0.04300219841808819,1815,0.04091868399144305,4681,0.028211020294700764
bitcoin_otc,5,905,264,2028,293,7,0.005912435786337965,1810,0.042905934338113516,4458,0.04077865662115705,4654,0.028092008934258533
bitcoin_otc,6,1,226,905,264,905,0.00537234003814549,2125,0.04035145662918122,3795,0.04070676598776341,4683,0.027759146380901815
bitcoin_otc,7,4172,222,4172,264,1953,0.005159445975183549,4172,0.03896362855516177,3793,0.04070422401628379,4680,0.02754563187054409
bitcoin_otc,8,7,216,7,232,1,0.005029048679852529,7,0.03645858503738024,3792,0.04070422401628379,4679,0.0275432468870109
bitcoin_otc,9,4197,203,1,215,4172,0.004785609355691647,2028,0.03161398808440633,3790,0.04070422401628379,4686,0.027426646753884946
bitcoin_otc,10,13,191,3129,212,4197,0.004672174052144944,13,0.027465856611818915,3794,0.04070422401628379,4673,0.02721670109853658
bitcoin_otc,11,2125,180,13,210,13,0.004285772484391748,1953,0.026272698378881756,3791,0.04070422401628379,4672,0.026628228673072803
bitcoin_otc,12,1018,179,1018,203,1018,0.004083886139251873,2388,0.022866967330614153,3786,0.03850905911172969,4744,0.02646571330843292
bitcoin_otc,13,1953,165,4197,202,2125,0.0038798722323221675,2296,0.02104276936222853,3787,0.03710006907001437,4669,0.026214386058269923
bitcoin_otc,14,1334,164,2296,200,2296,0.003360715863324579,546,0.020620112988806436,3788,0.036930936521610475,4678,0.026199655576022458
bitcoin_otc,15,4291,158,2388,197,202,0.003342619522839635,1018,0.019615841057158835,3330,0.026764272876081546,4688,0.02619425421621686
